Fecha,Representante,CódigoProducto,Unidades
1/1/2014,Valentina Tapia Castro,B00F3J4B5S,4
1/2/2014,Gabriela Rojas Huerta,B018IZ0SWI,2
1/2/2014,Carla Fernández Mendoza,B01DZJFWNC,1
1/2/2014,Luisa García López,B01DZJFWNC,2
1/2/2014,Juan Carlos Rodríguez Huamán,B016381QZA,4
1/3/2014,Ricardo Gómez Vargas,B00J0O5J4Y,2
1/3/2014,Diego Morales Castro,B01KBH547A,3
1/4/2014,Silvia Ramírez Rivera,B00K15Q2B0,15
1/4/2014,Laura Flores Guzmán,B00NQGP42Y,2
1/4/2014,Eduardo Cáceres Salazar,B00NQGP42Y,2
1/4/2014,Andrés Ramos Silva,B01LQV1YHO,2
1/4/2014,Carlos González Medina,B01KBH547A,2
1/4/2014,Julio Vargas López,B00F3J4B5S,6
1/5/2014,Miguel Ángel Vega Torres,B00J0O5J4Y,4
1/5/2014,Ana María Castro Chávez,B01KBH547A,3
1/5/2014,Sofía Castro Valdez,B00NQGP42Y,2
1/5/2014,Ricardo Gómez Vargas,B01KBH547A,1
1/5/2014,Silvia Ramírez Rivera,B018IZ0SWI,19
1/5/2014,Valentina Torres Vega,B00NQGP42Y,3
1/5/2014,Diego Morales Castro,B00J0O5J4Y,2
1/5/2014,Luisa García López,B018IZ0SWI,1
1/5/2014,Gabriela Rojas Huerta,B018IZ0SWI,2
1/5/2014,Juan Carlos Rodríguez Huamán,B01EYT1URO,3
1/6/2014,Carla Fernández Mendoza,B01EYT1URO,2
1/6/2014,Eduardo Cáceres Salazar,B018IZ0SWI,1
1/7/2014,Laura Flores Guzmán,B00NQGP42Y,2
1/7/2014,Carlos González Medina,B01LQV1YHO,1
1/7/2014,Andrés Ramos Silva,B00NQGP42Y,2
1/7/2014,Miguel Ángel Vega Torres,B01EYT1URO,2
1/7/2014,Julio Vargas López,B00K15Q2B0,1
1/7/2014,Silvia Ramírez Rivera,B01DZJFWNC,3
1/7/2014,Diego Morales Castro,B016381QZA,1
1/8/2014,Sofía Castro Valdez,B018IZ0SWI,3
1/8/2014,Ricardo Gómez Vargas,B018IZ0SWI,2
1/8/2014,Valentina Torres Vega,B00F3J4B5S,3
1/8/2014,Luisa García López,B01KBH547A,21
1/9/2014,Juan Carlos Rodríguez Huamán,B00NQGP42Y,3
1/9/2014,Ana María Castro Chávez,B00F3J4B5S,2
1/9/2014,Gabriela Rojas Huerta,B00F3J4B5S,3
1/9/2014,Carla Fernández Mendoza,B01DZJFWNC,2
1/10/2014,Eduardo Cáceres Salazar,B00J0O5J4Y,1
1/10/2014,Miguel Ángel Vega Torres,B00J0O5J4Y,2
1/10/2014,Laura Flores Guzmán,B016B7INC2,3
